"TOA5","BoiaSomorrostro_cr1000xs","CR1000X","27337","CR1000X.8.2.1","CPU:IcatmarBoiaBarcelona.CR1X","30101","Status"
"TIMESTAMP","RECORD","OSVersion","OSDate","OSSignature","SerialNumber","RevBoard","StationName","RecipeStatus","ProgName","StartTime","RunSignature","ProgSignature","WatchdogErrors","PanelTemp","Battery","LithiumBattery","Low12VCount","CompileResults","StartUpCode","ProgErrors","VarOutOfBound","SkippedScan","SkippedSystemScan","SkippedSlowScan","ErrorCalib","MemorySize","MemoryFree","CommsMemFree","FullMemReset","CardStatus","MeasureOps","MeasureTime","ProcessTime","MaxProcTime","BuffDepth","MaxBuffDepth","LastSystemScan","LastSlowScan","SystemProcTime","SlowProcTime","MaxSystemProcTime","MaxSlowProcTime","PortStatus(1)","PortStatus(2)","PortStatus(3)","PortStatus(4)","PortStatus(5)","PortStatus(6)","PortStatus(7)","PortStatus(8)","PortConfig(1)","PortConfig(2)","PortConfig(3)","PortConfig(4)","PortConfig(5)","PortConfig(6)","PortConfig(7)","PortConfig(8)","SW12Volts(1)","SW12Volts(2)","PakBusRoutes","Messages","CalVolts(1)","CalVolts(2)","CalVolts(3)","CalRefSlope(1)","CalRefSlope(2)","CalRefSlope(3)","CalRefOffset(1)","CalRefOffset(2)","CalRefOffset(3)","CalGain(1)","CalGain(2)","CalGain(3)","CalOffset(1)","CalOffset(2)","CalOffset(3)","CalCurrent(1)","CalCurrent(2)"
"TS","RN","","","","","","","","","","","","","DegC","Volts","Volts","","","","","","","","","","bytes","bytes","","","","","usec","usec","usec","scans","scans","","","usec","usec","usec","usec","","","","","","","","","","","","","","","","","","","","","mVolts","mVolts","mVolts","mVolts/DegC","mVolts/DegC","mVolts/DegC","mVolts","mVolts","mVolts","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-07-16 12:57:52.214",11,"CR1000X.8.2.1","03/18/2025",36113,"27337","007.001","27337","","CPU:IcatmarBoiaBarcelona.CR1X","2025-07-15 14:02:40.299",12456,30101,0,29.78107,12.53056,3.687272,0,"CPU:IcatmarBoiaBarcelona.CR1X -- Compiled in SequentialMode.  ",0,0,0,0,0,0,0,4194304,51580,"305  99(98),189(185),298(296),143(97),45(39),35(34),25(21),0(0),2(2),0(0)",0,"Card OK.",197,1500,318115410,319631083,0,0,"2025-07-16 12:57:00.029","2025-07-16 00:00:00",320,1399808880,943,0,0,0,0,0,0,0,0,0,"SDI-12","Output","Input","Input","Input","Input","Input","Input",0,0,"130,4094,4094,5000  ","",8000.17,1599.884,319.7696,-0.009753739,-0.002493707,-0.00135769,0.6666325,0.171649,0.09571807,0.0006423558,0.0001270105,2.524852E-05,-287,-334,-387,0.1000034,0.09999072
"2025-08-13 15:56:16.774",1,"CR1000X.8.2.1","03/18/2025",36113,"27337","007.001","27337","","CPU:codi_BoiaSomorrostro.CR1X","2025-08-12 15:45:41.112",53993,45662,0,30.84195,12.10012,3.687263,0,"CPU:codi_BoiaSomorrostro.CR1X -- Compiled in SequentialMode.  ",0,0,0,0,0,0,0,4194304,54328,"305  99(99),189(185),298(295),143(102),45(39),35(34),25(23),0(0),2(2),0(0)",0,"Card OK.",197,1500,262023209,269507536,0,0,"2025-08-13 15:56:00.029","2025-08-13 00:00:00",319,323087001,1159,0,0,0,0,0,0,0,0,0,"SDI-12","Output","Input","Input","Input","Input","Input","Input",0,0,"104,4094,4094,5000  ","",8000.17,1599.884,319.7696,-0.009753739,-0.002493707,-0.00135769,0.6666325,0.171649,0.09571807,0.0006423675,0.0001269773,2.525099E-05,-287,-338,-389,0.1000034,0.09999072
"2025-08-13 16:33:58.608",2,"CR1000X.8.2.1","03/18/2025",36113,"27337","007.001","27337","","CPU:IcatmarBoiaBarcelona.CR1X","2025-08-13 16:10:11.46",12456,30101,0,30.64389,12.08307,3.687094,0,"CPU:IcatmarBoiaBarcelona.CR1X -- Compiled in SequentialMode.  ",0,0,0,0,0,0,0,4194304,51580,"305  99(99),189(185),298(296),143(139),45(41),35(34),25(23),0(0),2(2),0(0)",0,"Card OK.",197,0,0,0,0,0,"2025-08-13 16:33:00.029","1990-01-01 00:00:00",319,0,339,0,0,0,0,0,0,0,0,0,"Input","Output","Input","Input","TX","RX","TX","RX",0,0,"103,4094,4094,5000  ","",8000.17,1599.884,319.7696,-0.009753739,-0.002493707,-0.00135769,0.6666325,0.171649,0.09571807,0.0006423658,0.0001269772,2.525093E-05,-283,-336,-391,0.1000034,0.09999072
"2025-08-13 16:55:15.094",3,"CR1000X.8.2.1","03/18/2025",36113,"27337","007.001","27337","","CPU:IcatmarBoiaBarcelona.CR1X","2025-08-13 16:10:11.46",12456,30101,0,30.57053,12.08451,3.687746,0,"CPU:IcatmarBoiaBarcelona.CR1X -- Compiled in SequentialMode.  ",0,0,0,0,0,0,0,4194304,51580,"304  99(99),189(185),298(296),143(139),45(41),35(34),23(23),0(0),2(2),0(0)",0,"Card OK.",197,0,0,0,0,0,"2025-08-13 16:55:00.029","1990-01-01 00:00:00",320,0,339,0,0,0,0,0,0,0,0,0,"Input","Output","Input","Input","TX","RX","TX","RX",0,0,"105,4094,4094,5000  ","",8000.17,1599.884,319.7696,-0.009753739,-0.002493707,-0.00135769,0.6666325,0.171649,0.09571807,0.0006423654,0.0001269772,2.525099E-05,-281,-331,-395,0.1000034,0.09999072
"2025-08-13 17:03:13.782",4,"CR1000X.8.2.1","03/18/2025",36113,"27337","007.001","27337","","CPU:IcatmarBoiaBarcelona.CR1X","2025-08-13 16:10:11.46",12456,30101,0,30.55911,12.09522,3.687834,0,"Warning: Conflicting PakBus connection with 4094.  Closing old IP connection 105.  ",0,0,0,0,0,0,0,4194304,51580,"305  99(98),189(185),298(296),143(138),45(41),35(34),25(23),0(0),2(2),0(0)",0,"Card OK.",197,1500,0,0,0,0,"2025-08-13 17:03:00.026","1990-01-01 00:00:00",320,0,339,0,0,-1,0,0,0,0,0,0,"SDI-12","Output","Input","Input","TX","RX","Input","Input",0,0,"106,4094,4094,5000  ","",8000.17,1599.884,319.7696,-0.009753739,-0.002493707,-0.00135769,0.6666325,0.171649,0.09571807,0.0006423665,0.0001269774,2.525098E-05,-286,-327,-402,0.1000034,0.09999072
"2025-09-08 11:50:36.562",5,"CR1000X.8.2.1","03/18/2025",36113,"27337","007.001","27337","","CPU:IcatmarBoiaBarcelona.CR1X","2025-08-13 16:10:11.46",12456,30101,0,26.21265,11.83904,3.696695,0,"Warning: Conflicting PakBus connection with 4094.  Closing old IP connection 105.  ",0,0,0,0,0,0,0,4194304,51580,"305  99(98),189(185),298(296),143(138),45(41),35(34),25(23),0(0),2(2),0(0)",0,"Card OK.",197,1500,274254052,277961014,0,0,"2025-09-08 11:50:00.029","2025-09-08 00:00:00",320,189898306,1252,189898306,0,0,0,0,0,0,0,0,"SDI-12","Output","Input","Input","Input","Input","Input","Input",0,0,"2075,4094,4094,5000  ","",8000.17,1599.884,319.7696,-0.009753739,-0.002493707,-0.00135769,0.6666325,0.171649,0.09571807,0.0006423451,0.0001270173,2.524828E-05,-286,-325,-380,0.1000034,0.09999072
"2025-09-08 12:24:29.543",7,"CR1000X.8.2.1","03/18/2025",36113,"27337","007.001","27337","","CPU:IcatmarBoiaBarcelona.CR1X","2025-08-13 16:10:11.46",12456,30101,0,26.37112,11.79905,3.695943,0,"Warning: Conflicting PakBus connection with 4094.  Closing old IP connection 105.  Warning: Conflicting PakBus connection with 4094.  Closing old IP connection 2075.  ",0,0,0,0,0,0,0,4194304,51580,"305  99(98),189(185),298(296),143(138),45(41),35(34),25(23),0(0),2(2),0(0)",0,"Card OK.",197,1500,274337018,277961014,0,0,"2025-09-08 12:24:00.029","2025-09-08 00:00:00",320,189898306,1252,189898306,0,0,0,0,0,0,0,0,"SDI-12","Output","Input","Input","Input","Input","Input","Input",0,0,"2076,4094,4094,5000  ","",8000.17,1599.884,319.7696,-0.009753739,-0.002493707,-0.00135769,0.6666325,0.171649,0.09571807,0.0006423463,0.0001270173,2.524827E-05,-280,-321,-390,0.1000034,0.09999072
"2025-09-08 12:28:31.7",8,"CR1000X.8.2.1","03/18/2025",36113,"27337","007.001","27337","","CPU:IcatmarBoiaBarcelona.CR1X","2025-08-13 16:10:11.46",12456,30101,0,26.36163,11.78012,3.696187,0,"Warning: Conflicting PakBus connection with 4094.  Closing old IP connection 105.  Warning: Conflicting PakBus connection with 4094.  Closing old IP connection 2075.  ",0,0,0,0,0,0,0,4194304,51580,"305  99(98),188(185),298(296),143(138),45(41),35(34),25(23),0(0),2(2),0(0)",0,"Card OK.",197,1500,274337018,277961014,0,0,"2025-09-08 12:28:00.027","2025-09-08 00:00:00",319,189898306,1252,189898306,0,0,0,0,0,0,0,0,"SDI-12","Output","Input","Input","Input","Input","Input","Input",0,0,"2077,4094,4094,5000  ","",8000.17,1599.884,319.7696,-0.009753739,-0.002493707,-0.00135769,0.6666325,0.171649,0.09571807,0.000642346,0.0001270175,2.52483E-05,-283,-325,-385,0.1000034,0.09999072
